Post code,Post office name,Branch,Post office level,Status,Pickup Branch,Commune EN,Branch Code,Category,Search Text
THOA003,Triel,THO - Kampong Thom,Agent,In effect,THOA003,Triel,THO,Agent,THOA003 | Triel | Triel | 0889900252 | THO | Kampong Thom | Kampong Thom | Agent
THOA004,Baray,THO - Kampong Thom,Agent,In effect,THOA004,Baray,THO,Agent,THOA004 | Baray | Baray | 090235666 | THO | Kampong Thom | Kampong Thom | Agent
THOA005,Bak Sna,THO - Kampong Thom,Agent,In effect,THOA005,Bak Sna,THO,Agent,THOA005 | Bak Sna | Bak Sna | 0977557199 | THO | Kampong Thom | Kampong Thom | Agent
THOA006,Tbaeng,THO - Kampong Thom,Agent,In effect,THOA006,Tbaeng,THO,Agent,THOA006 | Tbaeng | Tbaeng | 066612813 | THO | Kampong Thom | Kampong Thom | Agent
THOA007,Tang Krasang,THO - Kampong Thom,Agent,In effect,THOA007,Tang Krasang,THO,Agent,THOA007 | Tang Krasang | Tang Krasang | 090834810 | THO | Kampong Thom | Kampong Thom | Agent
THOA008,San Ko,THO - Kampong Thom,Agent,In effect,THOA008,San Ko,THO,Agent,THOA008 | San Ko | San Ko | 0975120190 | THO | Kampong Thom | Kampong Thom | Agent
THOA009,Tum Ring,THO - Kampong Thom,Agent,In effect,THOA009,Tum Ring,THO,Agent,THOA009 | Tum Ring | Tum Ring | 066687713 | THO | Kampong Thom | Kampong Thom | Agent
THOA010,Kraya,THO - Kampong Thom,Agent,In effect,THOA010,Kraya,THO,Agent,THOA010 | Kraya | Kraya | 0883588806 | THO | Kampong Thom | Kampong Thom | Agent
THOA011,Sala Visai,THO - Kampong Thom,Agent,In effect,THOA011,Sala Visai,THO,Agent,THOA011 | Sala Visai | Sala Visai | 068848840 | THO | Kampong Thom | Kampong Thom | Agent
THOA012,Steung Sean,THO - Kampong Thom,Agent,In effect,THOA012,Steung Sean,THO,Agent,THOA012 | Steung Sean | Steung Sean | 0717687666 | THO | Kampong Thom | Kampong Thom | Agent
THOA013,Chhuk,THO - Kampong Thom,Agent,In effect,THOA013,Chhuk,THO,Agent,THOA013 | Chhuk | Chhuk | 0979197468 | THO | Kampong Thom | Kampong Thom | Agent
THOA014,Krava,THO - Kampong Thom,Agent,In effect,THOA014,Krava,THO,Agent,THOA014 | Krava | Krava | 0972163303 | THO | Kampong Thom | Kampong Thom | Agent
THOA015,Kampong Chen Tboung,THO - Kampong Thom,Agent,In effect,THOA015,Kampong Chen Tboung,THO,Agent,THOA015 | Kampong Chen Tboung | Kampong Chen Tboung | 0977008490 | THO | Kampong Thom | Kampong Thom | Agent
THOA016,Chamna Kraom,THO - Kampong Thom,Agent,In effect,THOA016,Chamna Kraom,THO,Agent,THOA016 | Chamna Kraom | Chamna Kraom | 0885709168 | THO | Kampong Thom | Kampong Thom | Agent
THOA017,Steung Sean,THO - Kampong Thom,Agent,In effect,THOA017,Steung Sean,THO,Agent,THOA017 | Steung Sean | Steung Sean | 0977537606 | THO | Kampong Thom | Kampong Thom | Agent
THOA018,Steung Sean,THO - Kampong Thom,Agent,In effect,THOA018,Steung Sean,THO,Agent,THOA018 | Steung Sean | Steung Sean | 0313756464 | THO | Kampong Thom | Kampong Thom | Agent
THOP001,Stueng Saen,THO - Kampong Thom,Post Office,In effect,THOP001,Stueng Saen,THO,Post Office,THOP001 | Stueng Saen | Stueng Saen | 0882133448 | THO | Kampong Thom | Kampong Thom | Post Office
THOP018,Steung Sean,THO - Kampong Thom,Post Office,Out of effect,THOP018,Steung Sean,THO,Post Office,THOP018 | Steung Sean | Steung Sean | 0313756464 | THO | Kampong Thom | Kampong Thom | Post Office
THOS001,Prey Ta Hu,THO - Kampong Thom,Showroom,In effect,THOS001,Prey Ta Hu,THO,Showroom,THOS001 | Prey Ta Hu | Prey Ta Hu | 0976327489 | THO | Kampong Thom | Kampong Thom | Showroom
THOS002,Ballang,THO - Kampong Thom,Showroom,In effect,THOS002,Ballang,THO,Showroom,THOS002 | Ballang | Ballang | 090853838 | THO | Kampong Thom | Kampong Thom | Showroom
THOS003,Kampong Chen Cheung,THO - Kampong Thom,Showroom,In effect,THOS003,Kampong Chen Cheung,THO,Showroom,THOS003 | Kampong Chen Cheung | Kampong Chen Cheung | 0978280025 | THO | Kampong Thom | Kampong Thom | Showroom
THOS004,Sandan,THO - Kampong Thom,Showroom,In effect,THOS004,Sandan,THO,Showroom,THOS004 | Sandan | Sandan | 068334448 | THO | Kampong Thom | Kampong Thom | Showroom
BCTEST,BC Thử nghiệm 5 BAN TTCNTT,TTCNVTP - Trung tâm Công nghệ - VTP - test,Post Office,Out of effect,BCTEST,BC Thử nghiệm 5 BAN TTCNTT,TTCNVTP,Post Office,BCTEST | BC Thử nghiệm 5 BAN TTCNTT | BC Thử nghiệm 5 BAN TTCNTT | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Post Office
BCTEST06,BC thử nghiệm 06,TTCNVTP - Trung tâm Công nghệ - VTP - test,Post Office,Out of effect,BCTEST06,BC thử nghiệm 06,TTCNVTP,Post Office,BCTEST06 | BC thử nghiệm 06 | BC thử nghiệm 06 | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Post Office
CAMGL,Kho vùng Thử nghiệm,TTCNVTP - Trung tâm Công nghệ - VTP - test,Warehouse / Hub,Out of effect,CAMGL,Kho vùng Thử nghiệm,TTCNVTP,Warehouse / Hub,CAMGL | Kho vùng Thử nghiệm | Kho vùng Thử nghiệm | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Warehouse / Hub
CAMGL1,Thử nghiệm 1 BAN,TTCNVTP - Trung tâm Công nghệ - VTP - test,Agent,Out of effect,CAMGL1,Thử nghiệm 1 BAN,TTCNVTP,Agent,CAMGL1 | Thử nghiệm 1 BAN | Thử nghiệm 1 BAN | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Agent
CAMGL2,Thử nghiệm 2,TTCNVTP - Trung tâm Công nghệ - VTP - test,Agent,Out of effect,CAMGL2,Thử nghiệm 2,TTCNVTP,Agent,CAMGL2 | Thử nghiệm 2 | Thử nghiệm 2 | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Agent
DVCT,DVCT TEST,TTCNVTP - Trung tâm Công nghệ - VTP - test,Post Office,In effect,DVCT,DVCT TEST,TTCNVTP,Post Office,DVCT | DVCT TEST | DVCT TEST | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Post Office
GLOBAL0,Test PNP,TTCNVTP - Trung tâm Công nghệ - VTP - test,Post Office,In effect,GLOBAL0,Test PNP,TTCNVTP,Post Office,GLOBAL0 | Test PNP | Test PNP | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Post Office
GLOBAL2,Test BAT,TTCNVTP - Trung tâm Công nghệ - VTP - test,Warehouse / Hub,In effect,GLOBAL2,Test BAT,TTCNVTP,Warehouse / Hub,GLOBAL2 | Test BAT | Test BAT | 0712665666 | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Warehouse / Hub
GLOBAL3,GLOBAL test,TTCNVTP - Trung tâm Công nghệ - VTP - test,Post Office,In effect,GLOBAL3,GLOBAL test,TTCNVTP,Post Office,GLOBAL3 | GLOBAL test | GLOBAL test | 0963258555 | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Post Office
GLOBAL4,Test BAN,TTCNVTP - Trung tâm Công nghệ - VTP - test,Post Office,In effect,GLOBAL4,Test BAN,TTCNVTP,Post Office,GLOBAL4 | Test BAN | Test BAN | 09874564563 | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Post Office
GLOBAL5,Test BAT,TTCNVTP - Trung tâm Công nghệ - VTP - test,Warehouse / Hub,In effect,GLOBAL5,Test BAT,TTCNVTP,Warehouse / Hub,GLOBAL5 | Test BAT | Test BAT | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Warehouse / Hub
GLOBAL6,Test Agent PNP,TTCNVTP - Trung tâm Công nghệ - VTP - test,Agent,In effect,GLOBAL6,Test Agent PNP,TTCNVTP,Agent,GLOBAL6 | Test Agent PNP | Test Agent PNP | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Agent
GLOBAL7,Test Agent BAT,TTCNVTP - Trung tâm Công nghệ - VTP - test,Agent,In effect,GLOBAL7,Test Agent BAT,TTCNVTP,Agent,GLOBAL7 | Test Agent BAT | Test Agent BAT | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Agent
GLOBAL8,BC test GLOBAL8,TTCNVTP - Trung tâm Công nghệ - VTP - test,Post Office,Out of effect,GLOBAL8,BC test GLOBAL8,TTCNVTP,Post Office,GLOBAL8 | BC test GLOBAL8 | BC test GLOBAL8 | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Post Office
KVBAN,Kho vùng BAN,TTCNVTP - Trung tâm Công nghệ - VTP - test,Warehouse / Hub,Out of effect,KVBAN,Kho vùng BAN,TTCNVTP,Warehouse / Hub,KVBAN | Kho vùng BAN | Kho vùng BAN | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Warehouse / Hub
KVPNP,Kho vùng PNP,TTCNVTP - Trung tâm Công nghệ - VTP - test,Warehouse / Hub,Out of effect,KVPNP,Kho vùng PNP,TTCNVTP,Warehouse / Hub,KVPNP | Kho vùng PNP | Kho vùng PNP | 0123466789 | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Warehouse / Hub
PNPTTSST,PNP TEST,TTCNVTP - Trung tâm Công nghệ - VTP - test,Post Office,Out of effect,PNPTTSST,PNP TEST,TTCNVTP,Post Office,PNPTTSST | PNP TEST | PNP TEST | TTCNVTP | Trung tâm Công nghệ - VTP - test | Trung tâm Công nghệ - VTP - test | Post Office
MFET001,GLOBAL Metfone Express Test 01,ZT01 - Metfone Express Test,Post Office,In effect,MFET001,GLOBAL Metfone Express Test 01,ZT01,Post Office,MFET001 | GLOBAL Metfone Express Test 01 | GLOBAL Metfone Express Test 01 | ZT01 | Metfone Express Test | Metfone Express Test | Post Office
MFET002,GLOBAL  Metfone Express Test 02,ZT01 - Metfone Express Test,Post Office,In effect,MFET002,GLOBAL  Metfone Express Test 02,ZT01,Post Office,MFET002 | GLOBAL  Metfone Express Test 02 | GLOBAL  Metfone Express Test 02 | ZT01 | Metfone Express Test | Metfone Express Test | Post Office
